%time,field
1559775765581099033,522.501099114
1559775765582915067,522.486586952
1559775765585480928,522.492658976
1559775765585880994,522.492804453
1559775765587807893,522.482072926
1559775765589158058,522.489060976
1559775765591820001,522.484458491
1559775765593147993,522.491458298
1559775765595247030,522.479762642
1559775765597103118,522.486954212
1559775765599227905,522.497322422
1559775765601099967,522.490158348
1559775765603593111,522.48917783
1559775765605501890,522.487510138
1559775765605815887,522.495486217
1559775765607743024,522.495278417
1559775765609131097,522.504981778
1559775765611273050,522.511197978
1559775765613265037,522.502750652
1559775765615329980,522.513293523
1559775765617368936,522.504820473
1559775765619266033,522.515363916
1559775765623153924,522.521487661
1559775765625375032,522.512589959
1559775765627034902,522.519659731
1559775765629259109,522.514678229
1559775765631669998,522.513649676
1559775765633146047,522.520807778
1559775765635488033,522.519708062
1559775765635901927,522.519584274
1559775765637347936,522.507364309
1559775765639327049,522.495659867
1559775765641205072,522.491152545
1559775765643316984,522.494482889
1559775765645281076,522.501780034
1559775765649334907,522.500597271
1559775765650975942,522.504531724
1559775765653268098,522.512024405
1559775765655513048,522.515375826
1559775765655833959,522.515221847
1559775765657172918,522.514664774
1559775765659056901,522.502284735
1559775765661087036,522.505714063
1559775765663135051,522.505077688
1559775765665373086,522.504207867
1559775765665754079,522.508507652
1559775765667166948,522.512209603
1559775765671658992,522.519494699
1559775765673237085,522.514653327
1559775765675718069,522.53924747
1559775765680058956,522.547221535
1559775765681116104,522.576358538
1559775765683171987,522.587558561
